NodeName,NodeAliasPath,DocumentUrlPath,PostDate,DocumentTags,DocumentPageTitle,DocumentPageDescription
เช็กดวง 12 ราศี ชุดใหญ่ หลัง 2 ดาวใหญ่ย้ายราศี พร้อมเคล็ดลับเสริมดวงปัง,/plearn-plearn/lifestyle/living/lunar-eclipse-horoscope,/plearn-plearn/lunar-eclipse-horoscope,3/29/2022 8:00:00 AM,"เช็กดวง, วางแผนการเงิน, วางแผนชีวิต",เช็กดวง 12 ราศี ชุดใหญ่ หลัง 2 ดาวใหญ่ย้ายราศี พร้อมเคล็ดลับเสริมดวงปัง,เช็กดวง 12 ราศี หลังราหู และดาวพฤหัสย้าย โดยหมอไก่ พ.พาทินี ดวงการงาน การเงิน ความรัก จะเป็นอย่างไร คลิกเลย
เปลี่ยนรถทั้งทีรถ EV คุ้มมั้ยในยุคน้ำมันแพง | เรื่องชีวิตคิดให้ง่าย EP.18,/plearn-plearn/podcast/simple-life-tip/choose-electric-car,/plearn-plearn/choose-electric-car,3/28/2022 2:05:06 PM,"""EV Car"", Innovation, เรื่องรถยนต์, รถยนต์ไฟฟ้า",เปลี่ยนรถทั้งทีรถ EV คุ้มมั้ยในยุคน้ำมันแพง | เรื่องชีวิตคิดให้ง่าย EP.18,"มีคำตอบในทุกข้อสงสัยเรื่องรถยนต์ไฟฟ้า รถยนต์ไฟฟ้าเหมาะสำหรับคนขับรถที่มีไลฟ์สไตล์แบบไหนมาแลกเปลี่ยนความเห็นกันในหัวข้อ ""เปลี่ยนรถทั้งทีรถ EV คุ้มมั้ยในยุคน้ำมันแพง"""
เช็กดวงชะตา 12 ราศี เดือนเมษายน 2565 โดย หมอไก่ พ.พาทินี,/plearn-plearn/lifestyle/living/apr-2022-horoscope,/plearn-plearn/apr-2022-horoscope,3/24/2022 8:00:00 AM,"เช็กดวง, วางแผนการเงิน, วางแผนชีวิต",เช็กดวงชะตา 12 ราศี เดือนเมษายน 2565 โดย หมอไก่ พ.พาทินี,เช็กดวง 12 ราศี เดือนเมษายน ปี 2565 โดยหมอไก่ พ.พาทินี ดวงการงาน การเงิน ความรัก จะเป็นอย่างไร คลิกเลย
3 เรื่องที่ผู้นำควรโฟกัสในปี 2022,/plearn-plearn/business/management/3-things-leadership-focus,/plearn-plearn/3-things-leadership-focus,3/23/2022 8:00:00 AM,"การทำงาน, ""รวิศ หาญอุตสาหะ"", องค์กร",3 เรื่องที่ผู้นำควรโฟกัสในปี 2022,ผู้นำองค์กรยุคนี้ต้องโฟกัสให้ถูกจุด ถึงจะพาพนักงานไปถึงฝันที่ตั้งใจไว้ได้! มาดูกันว่าปี 2022 จะมีเรื่องไหนที่ผู้นำองค์กรต้องสนใจบ้าง พบคำตอบได้ในบทความนี้เลย
ส่องธุรกิจตู้อัตโนมัติ แฟรนไชส์ไหนน่าลงทุนบ้าง,/plearn-plearn/business/marketing/franchise-vending-machine,/plearn-plearn/franchise-vending-machine,3/22/2022 8:00:00 AM,"ธุรกิจ, ผลตอบแทน, ลงทุน",ส่องธุรกิจตู้อัตโนมัติ แฟรนไชส์ไหนน่าลงทุนบ้าง,ตู้อัตโนมัติกำลังมาแรง อยากเปิดธุรกิจแนวนี้จะดีไหม? อยากลงทุนธุรกิจแฟรนไชส์ตู้อัตโนมัติจะเลือกแบรนด์ไหนดี บทความนี้มีคำตอบให้คุณ!
โรคระบาดก็เอาไม่อยู่ พลัง Kpop ช่วยฟื้นเศรษฐกิจชาติ,/plearn-plearn/lifestyle/living/key-success-kpop-culture,/plearn-plearn/key-success-kpop-culture,3/17/2022 8:00:00 AM,"เกาหลี, ซีรีส์, ดนตรี",โรคระบาดก็เอาไม่อยู่ พลัง Kpop ช่วยฟื้นเศรษฐกิจชาติ,แฟนด้อม Kpop ต้องห้ามพลาด! มาดูกันว่าอะไรคือกุญแจความสำเร็จที่ทำให้วัฒนธรรม Kpop ครองในแฟนคลับไปทั่วโลก มารู้เรื่อง Kpop ให้มากขึ้นที่นี่เลย
ส่องเทรนด์นวัตกรรม พลิกโลกจากงาน CES 2022,/plearn-plearn/innovation/innovation-sub/trend-technology-innovation-2022,/plearn-plearn/trend-technology-innovation-2022,3/15/2022 8:00:00 AM,"CES, IoT, เทคโนโลยี",ส่องเทรนด์นวัตกรรม พลิกโลกจากงาน CES 2022,นวัตกรรมแบบนี้สิมาแรงในปี 2022 ส่องเทคโนโลยีใหม่ ๆจากงาน CES 2022 เมื่อต้นปี จะมีนวัตกรรมไหนช่วยพลิกโฉมชีวิตของเราให้ดีขึ้นบ้าง ไม่อยากตกเทรนด์ ห้ามพลาดเลยนะ
ดอกเบี้ยขาขึ้น บริหารหนี้อย่างไรดี | เรื่องเงินย่อยง่าย EP 18,/plearn-plearn/podcast/simple-money-tip/debt-management-inflation,/plearn-plearn/debt-management-inflation,3/14/2022 2:30:08 PM,"podcast, บริหารหนี้",ดอกเบี้ยขาขึ้น บริหารหนี้อย่างไรดี | เรื่องเงินย่อยง่าย EP 18,"คุยกับ โค้ชหนุ่ม-จักรพงษ์ เมษพันธุ์ เจ้าของเพจ Money Coach ในหัวข้อ ""ดอกเบี้ยขาขึ้น บริหารหนี้อย่างไรดี"" ถึงเรื่องการบริหารหนี้ ทั้งหนี้บัตรเครดิต ผ่อนรถ ผ่อนบ้าน ในภาวะที่ดอกเบี้ยเป็นขาขึ้นแบบนี้ จะมีวิธีบริหารจัดการอย่างไร"
เศรษฐกิจยังไม่ฟื้นตัว ขายของออนไลน์อะไรดี? ถึงได้กำไร,/plearn-plearn/business/marketing/online-selling-after-covid19,/plearn-plearn/online-selling-after-covid19,3/11/2022 8:00:00 AM,"ขายออนไลน์, รายได้, สินค้า",เศรษฐกิจยังไม่ฟื้นตัว ขายของออนไลน์อะไรดี? ถึงได้กำไร,เริ่มต้นปีนี้ จะขายของออนไลน์อะไรดี? ให้มีกำไรแบบยั่งยืน พ่อค้าแม่ค้าคนไหนอยากเริ่มต้นวงการนี้ เรามีไอเดียสินค้าน่าขายมาฝาก อ่านตรงนี้เลย!
กฎหมายจราจรที่ไม่ควรมองข้าม ถ้าอยากเป็นนักขับที่ดี,/plearn-plearn/lifestyle/living/traffic-rules,/plearn-plearn/traffic-rules,3/9/2022 8:00:00 AM,"กฎจราจร, ขับรถ, อุบัติเหตุ",กฎหมายจราจรที่ไม่ควรมองข้าม ถ้าอยากเป็นนักขับที่ดี,ไม่มีใครอยากให้เกิดอุบ้ติเหตุบนท้องถนน..มารู้จักกฎหมายจราจรที่ควรรู้ ถ้าไม่อยากผิดมีโทษอย่าทำแบบนี้นะ อ่านต่อได้ในบทความนี้เลย!
ในอนาคตเราอาจสามารถรับบทเป็นนักจิตวิทยารักษาตัวเองผ่าน VR!,/plearn-plearn/lifestyle/living/roleplay-psychologist-vr,/plearn-plearn/roleplay-psychologist-vr,3/4/2022 8:00:00 AM,"เทคโนโลยี, จิตวิทยา, ""จูนจูน พัชชา"", สุขภาพ",ในอนาคตเราอาจสามารถรับบทเป็นนักจิตวิทยารักษาตัวเองผ่าน VR!,จะดีแค่ไหนถ้าวันหนึ่งเราสามารถบำบัดจิตตัวเองได้ ผ่านแว่น VR มารู้จักแอปพลิเคชันดีๆ ที่ทำให้การฟื้นฟูจิตใจเป็นเรื่องง่าย ที่ไม่ว่าใครก็สวมบทเป็นคุณจิตวิทยาด้วยตัวเอง
“ขายออนไลน์แล้วขายดีเวอร์” ตัวอย่างไอเดียธุรกิจในญี่ปุ่นที่เอาชนะโควิด-19,/plearn-plearn/business/marketing/ideas-japan-online-business,/plearn-plearn/ideas-japan-online-business,3/2/2022 8:00:00 AM,"JapanSalaryMan, ญี่ปุ่น, ธุรกิจ",“ขายออนไลน์แล้วขายดีเวอร์” ตัวอย่างไอเดียธุรกิจในญี่ปุ่นที่เอาชนะโควิด-19,หลายคนบอกว่าการมาของโควิด-19 ทำให้ธุรกิจซบเซา แต่ญี่ปุ่นในปีที่ผ่านมากลับมียอดขายทางออนไลน์สูงมากๆ อะไรคือจุดเปลี่ยนของธุรกิจในญี่ปุ่น เราหาคำตอบไปด้วยกันเลย
เบื่อแล้วสเตตัสโสด หารักออนไลน์ยังไงให้เวิร์ค? | เรื่องชีวิตคิดให้ง่าย EP.17,/plearn-plearn/podcast/simple-life-tip/application-online-dating,/plearn-plearn/application-online-dating,2/28/2022 8:00:00 AM,podcast,เบื่อแล้วสเตตัสโสด หารักออนไลน์ยังไงให้เวิร์ค? | เรื่องชีวิตคิดให้ง่าย EP.17,Appหาคู่ โอกาสของการเจอรักของคนยุคนี้แล้วจะหาคู่ออนไลน์อย่างไรให้เวิร์คและกลายเป็นคู่ในชีวิตจริงได้  มาฟังเทคนิคจาก ผศ.ดร.วิลาสินี พนานครทรัพย์  ผู้เชียวชาญเรื่องความสัมพันธ์
เช็กดวงชะตา 12 ราศี เดือนมีนาคม 2565 โดย หมอไก่ พ.พาทินี,/plearn-plearn/lifestyle/living/mar-2022-horoscope,/plearn-plearn/mar-2022-horoscope,2/25/2022 8:00:00 AM,"เช็กดวง, วางแผนการเงิน, วางแผนชีวิต",เช็กดวงชะตา 12 ราศี เดือนมีนาคม 2565 โดย หมอไก่ พ.พาทินี,เช็กดวง 12 ราศี เดือน มีนาคม ปี 2565 โดยหมอไก่ พ.พาทินี ดวงการงาน การเงิน ความรัก จะเป็นอย่างไร คลิกเลย
ไปให้รุ่งตั้งแต่ต้นปี ด้วยแผน (ไม่ลับ) ช่วยวางแผนการเงิน,/plearn-plearn/guru-financial/money-tips/start-year-planning-money-bonus,/plearn-plearn/start-year-planning-money-bonus,2/24/2022 8:00:00 AM,"โบนัส, ลงทุน, หนี้สิน",ไปให้รุ่งตั้งแต่ต้นปี ด้วยแผน (ไม่ลับ) ช่วยวางแผนการเงิน,โบนัสปีนี้ออกแล้ว!! จะวางแผนการเงินยังไงดี? ให้เงินก้อนนี้มีประสิทธิภาพที่สุด ไม่ต้องคิดเหนื่อย เรามีไอเดียดีๆ มาฝาก ไปวางแผนการเงินกันเลย
ชวนดู...โอกาสลงทุนในกอง REIT,/plearn-plearn/guru-financial/investment/invest-reits-trust,/plearn-plearn/invest-reits-trust,2/22/2022 8:00:00 AM,"REIT, ""นิ้วโป้ง อธิป"", ลงทุน, อสังหา",ชวนดู...โอกาสลงทุนในกอง REIT,นอกจากการลงทุนในหุ้น หรือคริปโตฯ การลงทุนในกองทุนรวมอสังหา หรือ REIT ที่มีความเสี่ยงน้อย แต่ได้เงินปันผลสม่ำเสมอ ก็เป็นอีกตัวเลือกที่น่าสนใจ
"""Stay Interview"" รักษาพนักงานอย่างไร เมื่อเจอกับ The Great Resignation",/plearn-plearn/business/management/stay-interview,/plearn-plearn/stay-interview,2/17/2022 8:00:00 AM,"การทำงาน, ""รวิศ หาญอุตสาหะ"", ลาออก","""Stay Interview"" รักษาพนักงานอย่างไร เมื่อเจอกับ The Great Resignation",กระแสการลาออกจากงาน ในช่วงโควิด มีแนวโน้มเพิ่มสูงมากขึ้นจนน่าสนใจ อะไรคือสาเหตุที่แม้แต่วิวฤตโรคระบาด ก็รั้งไว้ไม่อยู่ และรู้จักวิธี Stay Interview ที่จะมาหยุดปัญหานี้เหล่านี้ให้หมดไป
ไอเดียการตลาดในญี่ปุ่น ที่ประสบความสำเร็จอย่างร้อนแรงในปีที่ผ่านมา,/plearn-plearn/business/marketing/japanese-ideas-business-success,/plearn-plearn/japanese-ideas-business-success,2/16/2022 8:00:00 AM,"ไอเดีย, ญี่ปุ่น, ธุรกิจ",ไอเดียการตลาดในญี่ปุ่น ที่ประสบความสำเร็จอย่างร้อนแรงในปีที่ผ่านมา,แค่มีไอเดียดีๆ บวกกับปัญหาที่ต้องการเอาชนะ ถึงจะเจอสถานการณ์โควิด19 ก็เอาอยู่ มาดูไอเดียธุรกิจดีๆ ที่ชาวญี่ปุ่นยังยอมรับว่านี่ล่ะ คือความสำเร็จ ใครคิดถึงญี่ปุ่น ต้องอ่านเลย!
เปิดสูตรการตั้งเป้าหมายทางการเงินสู่ความมั่งคั่ง | เรื่องเงินย่อยง่าย EP 17,/plearn-plearn/podcast/simple-money-tip/financial-5step-become-a-millionaire,/plearn-plearn/financial-5step-become-a-millionaire,2/15/2022 9:53:27 AM,podcast,เปิดสูตรการตั้งเป้าหมายทางการเงินสู่ความมั่งคั่ง | เรื่องเงินย่อยง่าย EP 17,อยากมีเงินล้านต้องรู้จักการวางแผนการเงินเพื่อให้บรรลุเป้าหมาย พอดแคสต์แนะนำวิธีการตั้งเป้าหมายทางการเงินและการต่อยอดทำให้ถึงเป้าหมาย โดย คุณวิน พรหมแพทย์
ช้อปอย่างไร ให้คุ้ม...แบบจัดเต็ม,/plearn-plearn/guru-financial/money-tips/smart-shopper,/plearn-plearn/smart-shopper,2/15/2022 8:00:00 AM,"บัตรเครดิตนักศึกษา, ช้อปปิ้ง",ช้อปอย่างไร ให้คุ้ม...แบบจัดเต็ม,ช้อปอย่างไรให้คุ้มค่า  สำหรับเหล่านักช้อปที่อยากเป็น Smart shopper ได้ลองนำไปปรับใช้ พร้อมเทคนิคการหาส่วนลดและต่อยอดเงินเก็บ
โสดสตรอง!!! รับวันวาเลนไทน์,/plearn-plearn/lifestyle/living/valentines-single,/plearn-plearn/valentines-single,2/11/2022 8:00:00 AM,"กองทุน, ประกัน, วาเลนไทน์",โสดสตรอง!!! รับวันวาเลนไทน์,“วาเลนไทน์” … เป็นวันที่อบอวลไปด้วยความรักและบรรยากาศโรแมนติก หากิจกรรมสร้างความสุขให้ตัวเอง มาดูกันว่า มีกิจกรรมอะไรบ้างที่เข้าตา
First Jobber เงินเดือนแค่นี้ต้องยื่นภาษีไหม? มีคำตอบมาบอก,/plearn-plearn/guru-financial/money-tips/first-jobber-tax-filing,/plearn-plearn/first-jobber-tax-filing,2/10/2022 8:00:00 AM,"มนุษย์เงินเดือน, รายได้, ลดหย่อนภาษี",First Jobber เงินเดือนแค่นี้ต้องยื่นภาษีไหม? มีคำตอบมาบอก,ทำงานปีแรกต้องยื่นภาษีหรือไม่? เชื่อว่าหลายคนคงสงสัย แล้วถ้าต้องยื่นภาษีต้องจ่ายเพิ่มแค่ไหน บทความนี้มีคำตอบมาฝาก มือใหม่เสียภาษีทุกคน
ทำไมนักลงทุนถึงสนใจลงทุน บิทคอยน์ (BTC)?,/plearn-plearn/guru-financial/investment/why-investor-attend-to-bitcoin,/plearn-plearn/why-investor-attend-to-bitcoin,2/9/2022 8:00:00 AM,"Cryptocurrency, นักลงทุน, สินทรัพย์",ทำไมนักลงทุนถึงสนใจลงทุน บิทคอยน์ (BTC)?,ทำไมนักลงทุน หรือกองทุนใหญ่ๆ ทั่วโลกถึงให้ความสนใจในสกุลเงินดิจิทัลอย่าง “บิทคอยน์ (BTC)” เหรียญนี้มีดีอะไรที่น่าลงทุน มาหาคำตอบได้ในบทความนี้เลย!
อยากคลายเครียดแบบฟรีๆ ลองดูนี่สิ Youtube ช่วยได้,/plearn-plearn/lifestyle/living/4-creator-youtube-relax-life,/plearn-plearn/4-creator-youtube-relax-life,2/8/2022 8:00:00 AM,"YouTube, คลายเครียด",อยากคลายเครียดแบบฟรีๆ ลองดูนี่สิ Youtube ช่วยได้,ใครกำลังเครียด เบื่อๆ กับปัญหาในชีวิตมาคลายเครียดกันดีกว่ากับ4 ช่อง YouTube ที่จะมาสร้างเสียงหัวเราะ กำจัดความเครียดของคุณให้หมดไป
"""The Great Onboarding"" เตรียมพร้อมรับการเปลี่ยนแปลงในตลาดแรงงาน",/plearn-plearn/business/management/what-is-great-onboarding,/plearn-plearn/what-is-great-onboarding,2/3/2022 8:00:00 AM,"""Work From Home"", ธุรกิจ, ""รวิศ หาญอุตสาหะ"", ลาออก","""The Great Onboarding"" เตรียมพร้อมรับการเปลี่ยนแปลงในตลาดแรงงาน",เมื่อพนักงานในบริษัทของเราทยอยลาออก “The Great Onboarding” อาจเป็นทางออกที่ลดปัญหาในจุดนี้ มาเข้าใจเรื่องนี้ให้มากขึ้น ได้ในบทความนี้เลย
บอกต่อไอเดียของขวัญที่มีคุณค่าสำหรับคนที่เรารัก,/plearn-plearn/lifestyle/living/valentine-idea-for-family,/plearn-plearn/valentine-idea-for-family,2/2/2022 8:00:00 AM,"ของขวัญ, ครอบครัว, ประกัน",บอกต่อไอเดียของขวัญที่มีคุณค่าสำหรับคนที่เรารัก,ลองมาดูของขวัญที่เราสามารถสื่อแทนความรัก ความห่วงใยให้กับคนที่เรารักไปได้นานๆ ยิ่งในยุคนี้ ที่ทุกคนไม่ว่าจะผู้ใหญ่หรือเด็กควรมีความคุ้มครองติดตัวเพื่อเตรียมพร้อมรับมือกับเหตุการณ์ไม่คาดฝัน
รู้จักภาษีคริปโต! จัดการยังไง? ให้หายห่วง,/plearn-plearn/guru-financial/financial/tax-cryptocurrency,/plearn-plearn/tax-cryptocurrency,2/1/2022 8:00:00 AM,"""Crypto currency"", Deffi, คริปโตเคอเรนซี่, ภาษี",รู้จักภาษีคริปโต! จัดการยังไง? ให้หายห่วง,ภาษีคริปโตฯ เป็นเรื่องใหม่ที่นักลงทุนสายดิจิทัล ให้ความสงสัยเป็นอย่างมาก มาดูกันว่า ภาษีคริปโตฯ จะต้องยื่นภาษีอย่างไร ถึงจะถูกวิธี ไม่โดนเรียกเก็บย้อนหลัง
องค์กรสายเทคเหมาะกับใคร เช็กเลย | เรื่องชีวิตคิดให้ง่าย EP.16,/plearn-plearn/podcast/simple-life-tip/fintech-company-career,/plearn-plearn/fintech-company-career,1/31/2022 1:44:24 PM,"Podcast, เทคโนโลยี, พัฒนาตัวเอง, ฟินเทค",องค์กรสายเทคเหมาะกับใคร เช็กเลย | เรื่องชีวิตคิดให้ง่าย EP.16,"เทรนด์ธุรกิจสายเทคที่ตอบโจทย์การเติบโตของเทคโนโลยี เปลี่ยนแปลงการทำงานรูปแบบเดิมๆ  คุณมาร์ช-ธีรพงศ์ มหธรรม"" กรรมการผู้จัดการ กรุงศรี นิมเบิล จะมาพูดคุยเกี่ยวกับเรื่องนี้"
4 เคล็ดลับ เปลี่ยนอั่งเปา เป็นทุนด้วยการลงทุนเพื่อลูก,/plearn-plearn/guru-financial/investment/growth-money-red-packet,/plearn-plearn/growth-money-red-packet,1/31/2022 11:46:52 AM,"ตรุษจีน, ออมเงิน, อั่งเปา",4 เคล็ดลับ เปลี่ยนอั่งเปา เป็นทุนด้วยการลงทุนเพื่อลูก,ตรุษจีนปีนี้! อย่าปล่อยให้เงินอั่งเปาหมดไปเฉย ๆ เอามาเปลี่ยนเป็นเงินทุนชีวิตให้ลูกน้อยของเรากันดีกว่า แล้วจะเอาเงินอั่งเปาไปทำอะไรให้งอกเงย? เรามีคำตอบ
เช็กดวงชะตา 12 ราศี เดือนกุมภาพันธ์ 2565 โดย หมอไก่ พ.พาทินี,/plearn-plearn/lifestyle/living/feb-2022-horoscope,/plearn-plearn/feb-2022-horoscope,1/29/2022 8:00:00 AM,"เช็กดวง, วางแผนการเงิน, วางแผนชีวิต",เช็กดวงชะตา 12 ราศี เดือนกุมภาพันธ์ 2565 โดย หมอไก่ พ.พาทินี,เช็กดวง 12 ราศี เดือน กุมภาพันธ์ปี 2565 โดยหมอไก่ พ.พาทินี ดวงการงาน การเงิน ความรัก จะเป็นอย่างไร คลิกเลย
จับตา 4 ปีนักษัตร!! ชีวิตมีการเปลี่ยนแปลงหนักมากหลัง 4 กุมภาพันธ์นี้,/plearn-plearn/lifestyle/living/chinese-horoscope-2022,/plearn-plearn/chinese-horoscope-2022,1/28/2022 8:00:00 AM,"เช็กดวง, ตรุษจีน, ปีชง",จับตา 4 ปีนักษัตร!! ชีวิตมีการเปลี่ยนแปลงหนักมากหลัง 4 กุมภาพันธ์นี้,จับตา 4 นักฉัตร ปีวอก ปีขาล ปีมะเส็ง ปีกุน ปีไหนชง แล้วจะต้องทำบุญแก้ชงอย่างไร เพื่อเสริมดวงให้ชีวิตดีขึ้น ในปี 2565 คลิกอ่านเลย
5 เรื่องที่จะบอกเราว่า “สมัครงานที่ใหม่เถอะ”,/plearn-plearn/lifestyle/living/5-situation-apply-new-work,/plearn-plearn/5-situation-apply-new-work,1/27/2022 8:00:00 AM,"เงินเดือน, การทำงาน, สมัครงาน",5 เรื่องที่จะบอกเราว่า “สมัครงานที่ใหม่เถอะ”,คงถึงเวลาแล้วที่เราจะต้องโบกมือลา จากงานเดิมแล้วไปเริ่มต้นงานที่ใหม่ ถ้าได้เจอกับ 5 สถานการณ์นี้ในออฟฟิศ จะมีอะไรบ้าง? มาดูกันเลย
